No.,headline,date,link
84,Former Hell’s Angel Reveals Secret Homosexual Meaning Behind Why Bikers Wave When They Pass Each Other,"MAY 22, 2017",https://empirenews.net/former-hells-angel-reveals-secret-homosexual-meaning-behind-why-bikers-wave-when-they-pass-each-other/
85,Death Row Inmate Requests Human Cadaver As Final Meal Before Execution,"APRIL 30, 2017",https://empirenews.net/death-row-inmate-requests-human-cadaver-as-final-meal-before-execution/
86,Dolph Lundgren To Replace Bill Nye on New Netflix TV Series,"APRIL 29, 2017",https://empirenews.net/dolph-lundgren-to-replace-bill-nye-on-new-netflix-tv-series/
87,"Babysitter Takes Acid, Eats 3-Month-Old Baby After Cooking Her In The Oven","APRIL 29, 2017",https://empirenews.net/babysitter-takes-acid-eats-3-month-old-baby-after-cooking-her-in-the-oven/
88,Man Forcibly Inserts Handgun Into Anus Because He Thinks It Is The ‘Safest Place’ To Keep It,"APRIL 28, 2017",https://empirenews.net/man-forcibly-inserts-handgun-into-anus-because-he-thinks-it-is-the-safest-place-to-keep-it/
89,Trump Becomes First Person To Admit Their Favorite Band is Nickelback,"APRIL 26, 2017",https://empirenews.net/trump-becomes-first-person-to-admit-their-favorite-band-is-nickelback/
90,Netflix Show ’13 Reasons Why’ Sparks Thousands of Teens To Commit Suicide,"APRIL 26, 2017",https://empirenews.net/netflix-show-13-reasons-why-sparks-thousands-of-teens-to-commit-suicide/
91,Registered Sex Offender ‘Very Upset’ Children Stopped Playing ‘Pokemon Go’ Mobile Game,"APRIL 18, 2017",https://empirenews.net/registered-sex-offender-very-upset-children-stopped-playing-pokemon-go-mobile-game/
92,Country Star Loretta Lynn Says She’s Sick of Getting Hate Mail For Loretta Lynch,"MARCH 30, 2017",https://empirenews.net/country-star-loretta-lynn-says-shes-sick-of-getting-hate-mail-for-loretta-lynch/
93,Police Discover Meth Lab In Back Room of Alabama Walmart,"MARCH 30, 2017",https://empirenews.net/police-discover-meth-lab-in-back-room-of-alabama-walmart/
94,Morgue Employee Cremated By Mistake While Taking a Nap During His Break,"MARCH 28, 2017",https://empirenews.net/morgue-employee-cremated-by-mistake-while-taking-a-nap-during-his-break/
95,"Chuck Berry Not Actually Dead, ‘I’m Just a Heavy Sleeper’ Says Rock Legend","MARCH 19, 2017",https://empirenews.net/chuck-berry-not-actually-dead-im-just-a-heavy-sleeper-says-rock-legend/
96,Woman In Uganda Confirmed To Be Over 200-Years Old,"MARCH 16, 2017",https://empirenews.net/woman-in-uganda-confirmed-to-be-over-200-years-old/
97,Parents Arrested After It Was Found They Had Been Tattooing Their Infant,"FEBRUARY 26, 2017",https://empirenews.net/parents-arrested-after-it-was-found-they-had-been-tattooing-their-infant/
98,‘Cash Me Outside’ Girl Revealed To Actually Be 45-Year-Old Man,"FEBRUARY 24, 2017",https://empirenews.net/cash-me-outside-girl-revealed-to-actually-be-45-year-old-man/
99,Finger-Chop Challenge Spreads Across Social Media To Protest Trump,"FEBRUARY 23, 2017",https://empirenews.net/finger-chop-challenge-spreads-across-social-media-to-protest-trump/
100,Woman Who Ate 3 of Her Children Released From Prison After Only 2 Years,"FEBRUARY 23, 2017",https://empirenews.net/woman-who-ate-3-of-her-children-released-from-prison-after-only-2-years/
101,"Rapist Files Lawsuit Against His Victim, Claims Emotional Damage Because She ‘Wasn’t Into Him’","FEBRUARY 8, 2017",https://empirenews.net/rapist-files-lawsuit-against-his-victim-claims-emotional-damage-because-she-wasnt-into-him/
102,Hillary Clinton Takes Game Show Hosting Gig,"FEBRUARY 1, 2017",https://empirenews.net/hillary-clinton-takes-game-show-hosting-gig/
103,"Oscars Telecast To Feature Only Black People, Minorities In Audience","JANUARY 29, 2017",https://empirenews.net/oscars-telecast-to-feature-only-black-people-minorities-in-audience/
104,Man Killed After Mistakenly Thinking Red Bull Energy Drink Would Give Him Literal Wings,"JANUARY 27, 2017",https://empirenews.net/man-killed-after-mistakenly-thinking-red-bull-energy-drink-would-give-him-literal-wings/
105,‘The Golden Girls’ To Get Netflix Reboot; Betty White Will Reprise Role as Rose,"JANUARY 26, 2017",https://empirenews.net/the-golden-girls-to-get-netflix-reboot-betty-white-will-reprise-role-as-rose/
106,WWE Chairman Vince McMahon Says Donald Trump Will Make Appearance At Wrestlemania,"JANUARY 26, 2017",https://empirenews.net/wwe-chairman-vince-mcmahon-says-donald-trump-will-make-appearance-at-wrestlemania/
107,Morbidly Obese Woman Let Her Children Die Of Starvation: ‘There Was Only Enough Food For Me’,"DECEMBER 31, 2016",https://empirenews.net/morbidly-obese-woman-let-her-children-die-of-starvation-there-was-only-enough-food-for-me/
108,12-Year-Old Girl Who Didn’t Get Pony For Christmas Murders Parents While Wearing Horse Mask,"DECEMBER 31, 2016",https://empirenews.net/12-year-old-girl-who-didnt-get-pony-for-christmas-murders-parents-while-wearing-horse-mask/
109,"Uber Driver Refuses To Pick Up Woman In Labor, Didn’t Want To Help Deliver Baby","DECEMBER 31, 2016",https://empirenews.net/uber-driver-refuses-to-pick-up-woman-in-labor-didnt-want-to-help-deliver-baby/
110,You Won’t BELIEVE What These ‘Hatchimals’ Toys Are Saying To Kids!,"DECEMBER 31, 2016",https://empirenews.net/you-wont-believe-what-these-hatchimals-toys-are-saying-to-kids/
111,‘The Simpsons’ Creator Says Next Season Will Be Last,"DECEMBER 31, 2016",https://empirenews.net/the-simpsons-creator-says-next-season-will-be-last/
112,‘Big Fat Fabulous Life’ TV Star Has Weight Loss Journey Sabotaged By TLC,"DECEMBER 31, 2016",https://empirenews.net/big-fat-fabulous-life-tv-star-has-weight-loss-journey-sabotaged-by-tlc/
113,Carrie Fisher’s Ghost Reportedly Spotted On Hollywood Boulevard,"DECEMBER 31, 2016",https://empirenews.net/carrie-fishers-ghost-reportedly-spotted-on-hollywood-boulevard/
114,Doctor Says That ‘Fat Is The New Skinny’,"DECEMBER 30, 2016",https://empirenews.net/doctor-says-that-fat-is-the-new-skinny/
115,"New Strain Of Weed In Colorado Has Teens ‘Turning Gay’, Doctors Baffled","NOVEMBER 27, 2016",https://empirenews.net/new-strain-of-weed-in-colorado-has-teens-turning-gay-doctors-baffled/
116,Man Murders Girlfriend Because She ‘Wouldn’t Make Eye Contact With Him’,"NOVEMBER 27, 2016",https://empirenews.net/man-murders-girlfriend-because-she-wouldnt-make-eye-contact-with-him/
117,Woman Claims She Makes Over $10k A Month By Asking ‘Boyfriends’ For Abortion Money,"NOVEMBER 27, 2016",https://empirenews.net/woman-claims-she-makes-over-10k-a-month-by-asking-boyfriends-for-abortion-money/
118,‘Little Old Lady’ Accused of Making Fur Coats With Neighbors’ Pets She Murdered,"NOVEMBER 27, 2016",https://empirenews.net/little-old-lady-accused-of-making-fur-coats-with-neighbors-pets-she-murdered/
119,Baby Born In India With Two Brains In Same Body,"NOVEMBER 27, 2016",https://empirenews.net/baby-born-in-india-with-two-brains-in-same-body/
120,"Man On Crystal Meth Kills 12 Neighbors, Believes They Are Zombies","NOVEMBER 27, 2016",https://empirenews.net/man-on-crystal-meth-kills-12-neighbors-believes-they-are-zombies/
121,Woman Has Cookie Dough Can Explode In Her Vagina While Trying To Shoplift,"NOVEMBER 27, 2016",https://empirenews.net/woman-has-cookie-dough-can-explode-in-her-vagina-while-trying-to-shoplift/
122,Coca-Cola Recalls Thousands of Dasani Waters After Clear Parasite Found In Bottles,"NOVEMBER 27, 2016",https://empirenews.net/coca-cola-recalls-thousands-of-dasani-waters-after-clear-parasite-found-in-bottles/
123,"Postman Found To Have Over 1100 Illegitimate Children, DNA Test Proves It!","NOVEMBER 27, 2016",https://empirenews.net/postman-found-to-have-over-1100-illegitimate-children-dna-test-proves-it/
124,Man Who Died In Haunted House Not Discovered For Weeks – Everyone Thought He Was ‘Very Realistic Prop’,"OCTOBER 31, 2016",https://empirenews.net/man-who-died-in-haunted-house-not-discovered-for-weeks-everyone-thought-he-was-very-realistic-prop/
125,Mt. Dew Proves To Be ‘Extremely Good’ For Premature Babies,"OCTOBER 31, 2016",https://empirenews.net/mt-dew-proves-to-be-extremely-good-for-premature-babies/
126,"Parents Die After Not Checking Child’s Halloween Candy For Poison, Eating It Themselves","OCTOBER 31, 2016",https://empirenews.net/parents-die-after-not-checking-childs-halloween-candy-for-poison-eating-it-themselves/
127,Trump Challenges Hillary To Game of HORSE To See Who Wins Election,"OCTOBER 29, 2016",https://empirenews.net/trump-challenges-hillary-to-game-of-horse-to-see-who-wins-election/
128,Kanye West Sues Donald Trump For Calling Himself ‘Greatest’ Candidate,"OCTOBER 29, 2016",https://empirenews.net/kanye-trump-sues-donald-trump-for-calling-himself-greatest-canidate/
129,Young Man Killed After Samsung Note 7 Explodes In His Face While Wearing It In Virtual Reality Headset,"OCTOBER 26, 2016",https://empirenews.net/young-man-killed-after-samsung-note-7-explodes-in-his-face-while-wearing-it-in-virtual-reality-headset/
130,"Man Arrested After Going On Murder Spree, Killing Over 30 Registered Sex Offenders","OCTOBER 25, 2016",https://empirenews.net/man-arrested-after-going-on-murder-spree-killing-over-30-registered-sex-offenders/
131,South Carolina Man Creates ‘Task Force’ To Battle Creepy Clown Epidemic,"SEPTEMBER 30, 2016",https://empirenews.net/south-carolina-man-creates-task-force-to-battle-creepy-clown-epidemic/
132,16 Members Of Japanese Whaling Crew Eaten Alive,"SEPTEMBER 28, 2016",https://empirenews.net/16-members-of-japanese-whaling-crew-eaten-alive/
133,Study Shows Exactly How Much Human Meat Is In A McDonald’s Burger,"SEPTEMBER 28, 2016",https://empirenews.net/study-shows-exactly-how-much-human-meat-is-in-a-mcdonalds-burger/
134,"Boston Cop Shoots, Kills Black Man For Smoking A Joint","SEPTEMBER 27, 2016",https://empirenews.net/boston-cop-shoots-kills-black-man-for-smoking-a-joint/
135,Act of God? Man Dies While Masturbating After Lightning Strikes His Bed,"AUGUST 31, 2016",https://empirenews.net/act-of-god-man-dies-while-masturbating-after-lightning-strikes-his-bed/
136,New ‘Shit On The America Flag Challenge’ Takes Form In Support Of Colin Kaepernick and Free Speech,"AUGUST 31, 2016",https://empirenews.net/new-shit-on-the-america-flag-challenge-takes-form-in-support-of-colin-kaepernick-and-free-speech/
137,Former CIA Agent Confesses To Killing Marilyn Monroe While On His Deathbed,"AUGUST 31, 2016",https://empirenews.net/former-cia-agent-confesses-to-killing-marilyn-monroe-while-on-his-deathbed/
138,Burger King Manager Fired After He Was Caught Eating McDonald’s Big Mac,"AUGUST 31, 2016",https://empirenews.net/burger-king-manager-fired-after-he-was-caught-eating-mcdonalds-big-mac/
139,‘White Entertainment Television’ To Be Added To DirecTV Lineup In December,"AUGUST 31, 2016",https://empirenews.net/white-entertainment-television-to-be-added-to-directv-lineup-in-december/
140,Yoko Ono Says She Had An Affair With Hillary Clinton,"AUGUST 31, 2016",https://empirenews.net/yoko-ono-says-she-had-an-affair-with-hillary-clinton/
