No.,body
15,"Via World News Daily Report:The attack occurred at 2 am yesterday after police officers responded to residents who were alarmed by an intruder on their property.Police officers arrived on the scene to find an extremely aggressive kangaroo and attempted to scare away the animal, without success.
“He jumped on my partner, kicked him unconscious to the floor and started humping him and attempted to mate with him,” Constable Pete Turnbull told reporters.Constable Malcolm Rudd suffered from two cuts and a black eye as well as multiple concussions to the head after the kangaroo in heat attempted to mate with the officer’s head.“He was humping and rubbing his penis all over my partner’s face in a brutal fashion. I had to tase the animal or else he would have killed him” Constable Pete Turnbull explained, visibly emotional.It took several minutes before Constable Turnbull realized that his partner was in trouble as he was dealing with the residents who had called during the assault.“When he was lying unconscious on the ground, it was dark and I thought his head was covered in blood. Thankfully, it was mostly kangaroo sperm,” Constable Turnbull told reporters in relief. "
16,"Mark Callaway, 46, was arrested on Thursday evening after he became drunk and belligerent at the Cap ‘N Cock bar in New Brighton, Pennsylvania. According to police reports, Callaway began telling other patrons that he was The Undertaker, a popular WWE wrestler, and was encouraging others to smash a chair off his back to prove it.“When Mr. Callaway was asked to leave by security, he became enraged, and tried to perform a tombstone piledriver on the bouncer, which unfortunately injured both of them,” said police chief Carl Carpenter. “We arrived on scene along with an ambulance, and Callaway was transported to a local hospital.”Carpenter says that had Callaway left on his own accord, he’d have been allowed to go home, but because of the assault, he will be facing up to 2 years in prison if the bar presses charges."
17,"Jerry Richards, 73, was arrested this week at his home in Naples, Florida after a neighbor spotted him very obviously burying a body behind his house. When police arrested Richards, he admitted to having over 700 bodies buried throughout his property. Police have currently exhumed 587 bodies in varying stages of decay.“Mr. Jerry Richards is likely the most prolific serial killer in history,” said Police Captain Robert Thomas of the Naples Police Department. “Based on the remains we have found so far, Richards has been murdering and burying bodies in his yard for over 35 years.”According to public records, Richards purchased his Naples home in 1982, when he was 38-years-old. Richards came into money after his father, Carl Richards, left him a large inheritance, which he invested in both stocks and real estate. Upon his arrest, Richards net worth was well over $35 million.Although the District Attorney believes the case to be “open and shut,” Richards has not yet stood before a judge to determine bail. With Richards’ excessive means, it’s likely he will be denied bail and forced to sit in jail awaiting sentencing. If convicted, Richards will likely be given the death penalty."
18,"Viacom Networks, the parent company of MTV, VH1, Nickelodeon, and others, has announced a major programming change for one of their longest-running networks. MTV, which started in the early 80s as a station airing music videos and music-related programming such as interviews with musicians, stopped showing music videos well over a decade ago, and now focuses on reality programming.“We have decided that nostalgia is the winner here,” said MTV Chairman Reed Morris. “The people have spoken – in fact, they’ve been speaking for years – and they want their MTV. So we have made the decision to remove all existing programming, and go back to our roots. We will begin showing music videos on our network beginning in August.”It has been a long-running joke that MTV no longer showed any music videos, despite their name – “Music TV.” Many on the internet bashed the company for their change to reality shows, and have been begging for music videos ever since.“The funny thing is, a channel dedicated to just music videos is completely irrelevant in this day and age,” said MTV superfan Ryan Rogers. “I mean, I miss the days of watching my favorite videos on TV, but even I think this is kind of dumb. I can just go to YouTube and look up whatever I want, any time I want. I don’t need MTV. But it’s still cool they’re willing to ruin their whole network just for the ‘fans’.”"
19,"As most people know, the Daddy Long Legs spider is the most venomous spider on the planet, but their fans are generally not sharp or strong enough to break the skin of most animals, including people. Apparently, no one told Christopher Moore, 32, who was killed after being bitten by the spider on Wednesday.Moore, who was renovating a new home, was bitten early Wednesday morning, and ended up being rushed to the hospital. Because doctors had never seen the symptoms of a DLL bite before, they had no idea what was causing Moore’s illness. He was pronounced dead only 20 minutes after sustaining the bite.During testing, doctors were able to discover the cause; it has since been classified as the first fatality from Daddy Long Legs.“Craziest damn thing I’ve ever seen,” said Dr. Charles Milstead, who treated Moore. “He had very soft skin, I guess. Damn spider bit right through him, and he died in minutes. I’m still flabbergasted.”"
20,"Joe Jackson, the extremely abusive father and former manager of The Jackson Five, died today. He was 89. Only last week, he was the “victim” of a death hoax after he was reportedly hospitalized with advance-stage cancer. His family refuted the claims last week, but have now since stated that yeah, the guy is finally, and thankfully, dead.The Jackson family made a public announcement about the death of the Patriach, stating that “We really aren’t affected by his death,” with at least one family member quoted as saying “good riddance.”“Honestly, the guy was a royal prick, and everyone knew that,” said one of the Jackson clan, speaking anonymously so as not to “make waves” throughout the family. “Everyone has seen The Jacksons: An American Dream. God knows VH1 has been airing it for decades. He was a cold-blooded bastard who beat the kids regularly, especially Michael. Did he push everyone to become better performers? Maybe, sure. But not the expense of having a life, and of love.”Joe Jackson will be remembered my some, and forgotten by most. His family says that in lieu of flowers, please send worn leather belts and broken tree branches in remembrance."
21,"President Donald Trump has reportedly offered Roseanne Barr a job in his cabinet at the White House, after ABC fired Roseanne and cancelled her sitcom over racist tweets made by the comedian. President Trump says that he “feels horrible” for the TV star, and says that there is “absolutely a job” for her in the White House.“Roseanne is a national treasure, and is loved by many,” said President Trump. “Her tweets were her own thoughts, which were shared by many people across this great nation. I, for one, believe that she deserves another chance, and as such, will be allowing her to be the chairperson of a new position I’m creating in the White House – Director of Race Relations.”If Roseanne decides to take the job, she will be in charge of working with people of all different races throughout the country in trying to “smooth over” issues between them.“This will include teaching black people not to shoot and rob each other, teaching Mexicans how to wear deodorant in public, that sort of thing,” said President Trump. “I absolutely believe that Roseanne is the perfect person for this job.”"
22,"No more than 72 hours after turning himself into authorities after allegations he sexually assaulted dozens of women of the last few decades, Harvey Weinstein has reportedly been “savagely beaten and raped, and left for dead” in a prison cell while he was awaiting sentencing.According to police, Weinstein was supposed to be in a “restricted cell,” designed for celebrities and rich socialites, and to protect sexual deviants. Unfortunately, prison officials say there was a “slight mix-up,” and Weinstein was put into the general population.“He only was with his cellmate for about 15 minutes before we found a massacre in the cell,” said Warden Shawn Michaels. “It was really one of the most disturbing things I’ve ever seen.”Weinstein was rushed to an area hospital after the prison facilities proved to be unfit for his medical needs. He is currently in a medical-induced coma. Prison officials say that although there were only the two men in the cell – Weinstein and another unnamed prisoner – they currently have no leads on the attack, and say they are “looking into it.”"
23,"Roseanne Barr has just filed a suit against George Soros and ABC, claiming the liberal money machine coerced the network into canning her new show over a “misunderstood tweet.” Barr is suing Soros for $60 million, which she claims is lifetime lost revenue for her current and past syndication contracts, as well as the $1 million per episode she was being paid to begin with.Coincidentally, this lawsuit coincides well with another – a class-action suit is being brought against Roseanne herself by the entire cast and crew of her now-cancelled sitcom.“I was counting on that paycheck for at least a few seasons,” said Bonnie Jones, a camera operator. “I passed on a few other gigs, and locked into this with ABC and the production company. There’s no way in hell I’m going after ABC, but I have no problems going after Roseanne herself. This is, after all, entirely her fault.”Co-Star John Goodman echoed the sentiments, but refused to acknowledge whether he was partaking in the lawsuit against Roseanne.“I don’t need the money, I don’t even really need the work. I’ve never stopped working,” said Goodman. “But I am disappointed that this all ended just because Rosie turned out to be a racist. I mean my God, who would have thought?”"
24,"Hollywood moguls at film studios across the city are in a “desperate search” for an actor who hasn’t sexually assaulted anyone before next award’s season begins, and so far, the search is coming up short.“We’re really digging deep into the backgrounds of everyone, and it’s so hard to find anyone who hasn’t ‘accidentally’ raped an unconscious girl, or made lewd comments at a press junket,” said a Hollywood executive who wished to go unnamed. “It’s really starting to put the fear of God into executives.”“We absolutely have to make sure that we don’t nominate someone for an award, only to find out later that they like, molested a young boy 30 years ago, or something like that,” said a film producer for a major studio. “I mean, someone like Kevin Spacey, yeah, you kind of always thought there was something weird about him, but Morgan Freeman? Morgan fucking Freeman is being accused of lewd conduct now. My mind is blown, you can’t trust anyone.”There has been talk by Oscar officials about whether to honor any males at the awards ceremony in 2019 at all, saying that they may just completely can the actor awards across the board, and only nominated and award women winners."
25,"Earlier this morning, ABC Networks, which are owned by Disney, dumped the hit TV revival of Roseanne, announcing their would be no second season because of a series of racist tweets by star and creator, Roseanne Barr.Roseanne tweeted inappropriate comments comparing a former member of Barack Obama’s staff to an ape – among other insane comments bashing Muslims and Hillary supporters.Despite the backlash, Netflix has announced that they will “gladly” pick-up the cancelled series for continuation.“We have no problems with what Roseanne said in her tweets – those are her personal opinions, and they have nothing to do with making money, which she is very, very good at,” said Netflix CEO Reed Hastings. “ABC hadn’t seen numbers like hers in years, and they were absolutely stupid to dump it while she’s still hot. We have already decided to add Roseanne to our platform, and know that our viewers will be ecstatic.Although parts of the new season were already shot before the show was cancelled, there were no completed episodes, and Hastings has said they will start from scratch, but that viewers will be “very excited” by the changes.“For starters, we want to push it to a TV-MA rating, which we think is more real, and will connect more with viewers,” said Hastings. “But we have some other changes as well, it’s all very early in talks, but it’s happening. We don’t care at all about Roseanne herself being a racist pig, we just want to offer the best programming available.”"
26,"A retirement home in Virginia was busted by the FBI, and 7 people were arrested after authorities were tipped off that the home was running and underground fight club in their recreation room after hours.According to federal agents, the home was requiring residents to partake in the fights in order to obtain necessities such as meals and medications. They would live-stream the fights online in a pay-per-view fashion. It is estimated that they took in over $125 million in the last 3 years running the illegal fights.“The older the contestants, the more brutal things got,” said FBI Agent Roger Kramer. “They were desperate for their meds, so they’d use weapons – chairs, walkers, canes – whatever they had.”Two owners of the retirement community, as well as two employees and three residents were arrested and implicated in the scheme. Currently, they each face a maximum of 15 years in prison if convicted."
27,"For those hoping to see Bill Cosby serve an extended prison sentence where he would likely end up dying, you may have to keep waiting.This afternoon, when Trump was asked about his thoughts on Bill Cosby’s verdict, the President stated that he would be “completely pardoning” the fallen comedian.“Regardless of what that jury thinks, or what anyone thinks, Bill Cosby has always been America’s dad – and America’s dad would never sexually assault and drug all those women,” said President Trump. “As soon as he is officially sentenced, I will be offering Mr. Cosby a full pardon, and the apology of the U.S. justice system. The fact that he has been found guilty is sickening.”Trump, who has been accused by many, many women of also being a sexual predator, states that pardoning Cosby has “nothing to do” with his own conscience, and everything to do with “writing a serious wrong.”“I love Bill Cosby, I loved The Cosby Show, and I love Jello Pudding,” said President Trump. “If you cannot get behind those things as well, then I don’t know how you can even call yourself an American.”"
28,"It’s a warning being sent out to parents across the country after a 3 year old Florida girl loses her life. Intense tickling of children under the age of 7 may cause asphyxiation which commonly leads to death. Trina Williams, 28, allegedly learned this the hard way and is now facing involuntary manslaughter charges for the death of her toddler.Via Now8News:Williams said it was an innocent case of “the tickle game” that she played with her daughter ever since she was two months old. “Me and Tati love to play this game, we do it every night…. well, we did,” Williams told police, very straight faced, calm and collective. “I don’t know, then she just stopped moving, she was laughing hard and then went silent. I don’t know what went wrong. But I still have 6 other kids so we cool. I’ll miss her, but I guess it was just her fate.”However, police are quite buying Williams story about what happened during her “innocent” tickle game. “Just by her statement she gave about what happened, I don’t believe her,” said chief of police Gerald Watson. “The toddler had bruises all over her body, and were still waiting for the autopsy report. This mom claims they were tickling bruises…yeah right. Either way, she killed her daughter and she has this ‘I don’t care because I have more kids’ attitude and it’s really disgusting."
29,"Police are reporting that comedian, actor, and convicted rapist Bill Cosby has been found dead in his home of an apparent suicide. Medical reports indicate that he took his entire stash of roofies, and collapsed due to cardiac arrest.“Mr. Cosby, as we all know very well now, was a rapist who enjoyed drugging women and sexually assaulting them,” said Police Captain Phil Huxtable of the PA County Sheriff’s Department. “It appears that in an effort to avoid a prison sentence, one where he no doubt would have stayed until he died, he decided to take his own life by resorting to ‘hitting off his own stash,’ as it were.”Cpt. Huxtable says that Cosby likely took over 150 Rohpynol pills, often called “roofies” or the “date rape drug.” These are also likely the same pills that Cosby used to drug and rape dozens and dozens and dozens of women over the years. He was found guilty earlier this week of 3 counts of sexual assault. Each count had a maximum sentence of 10 years, and individual fines of $25,000 per offense."
30,"Famed falled comedian Bill Cosby was rushed to a San Diego hospital after he was found violently beaten outside of his home. Police say that a neighbor called 911 after they saw Cosby laying in a pool of blood by his mailbox. A woman, whose name has not yet been released, has been arrested in conjunction with the assault.According to police, the woman claims that Cosby raped her nearly 35 years ago, and that she felt it was “her time.”Cosby has been accused by dozens of women of sexual misconduct over his long career, including several who say he drugged them and assaulted them while they were unconscious. Cosby, who was once the most loved man on television, has found himself the butt of jokes by other comedians who once idolized him.Doctors say that Cosby is in stable, but critical condition. He was taken in with multiple broken ribs, a crack vertebrae in his neck, two broken wrists, as well as multiple contusions and cuts across his whole body. He was stabbed in the chest 3 times with what police say was a “very small” pocketknife."
31,"A morbidly obese woman, who police are calling “one of the fattest” they’ve ever had in custody, was arrested on Friday after she smothered her boyfriend during a sex act.Police reports claim that “Mary” (name changed to protect identity), 28, who weighs a staggering 423 pounds, was arrested after her boyfriend (“Joe”) was found dead her bedroom. Police say Mary called them after she smothered Joe to death during a “69.”“He wanted me to go down on him, which is totally fine, but if he’s gonna get some, so am I,” said Mary. “In retrospect, it probably should have been at separate times. I got on top of him and we both started going to town. A few minutes later, when I was done, I realized he’d gone pretty limp, and I turned around and he was completely blue in the face.”Although Mary says it was an accidental death, police took her into custody, saying that there’s “no way” Mary wouldn’t have known that her 423 pound form wasn’t going to completely cut off Joe’s air supply once she was sitting on her chest and covering his entire face with her massive girl-mound.“We have reason to believe that this was not an accident, and we are looking at all angles,” said Police Chief Mario Cutler. “We learned that Joe had recently taken out a large life insurance policy, and Mary has been trying to save for liposuction for many years. She was the sole beneficiary on Joe’s policy. We suspect foul play. Very, very foul.”"
32,"After a major ratings success last week with the return of Roseanne, whose politics have taken center stage after she made it known that she was an ardent Trump supporter, the President himself has made a surprise announcement that he appears in one of the episodes of the new season, which will run for 8 more weeks on ABC.“It’s true that I appear as myself in an episode of Roseanne,” said President Trump during a recent press conference. “I was asked to appear, and thought it would be a fun return to TV. I’ve been friends with Rosie for many years, and was honored to make an appearance.”The President did not comment in which episode he would appear, but a White House entertainment spokesperson said that they are not 100% sure which episode it is.“The shows for this season were not shot sequentially, so we’re not sure. I guess you’ll have to watch them all,” said the representative. “We think it will be great fun for all Trump supporters, and even his detractors may get a laugh out of it. No one has ever said that Trump can’t laugh at himself a bit. And if they have, well, they’re wrong.”Roseanne airs Tuesday nights on ABC. Check local listings for times and channel numbers."
33,"Todd Riley, 31, was diagnosed with type 1, or “juvenille” diabetes when he was 3 years old, and has always had to make sure to carry an insulin pump or a candy bar with him wherever he goes. That is, until last year, when Riley began his journey to purposely contract type 2 diabetes.“It’s pretty simple, really,” said Riley, a former construction worker. “I have type 1 diabetes, and my blood sugar was always dangerously low. If I gain a bunch of weight and become a type 2 diabetic, my blood sugar will skyrocket, basically making me normal.”Doctors have cautioned Riley that it “doesn’t work that way,” but Riley has said that he thinks doctors are just trying to keep him skinny so that they can continue medicating him.“I pay thousands of dollars for my medication, and I’ve found a way to beat their system, and they’re terrified,” said Riley.Riley, who was always very skinny most of his life, gained over 300 pounds since late 2016, and says that he has “happily” come closer to becoming a type 2 diabetic.“I figure within the next couple of months, I will finally be able to control my diabetes naturally,” said Riley. “It’s really a great feeling.”"
34,"In light of the accusations being made against her husband, President Trump, of infidelity with a former porn star, Melania Trump announced today that he has signed a $12 million contract with Brazzers, the adult website, with plans to complete 5 pornographic films. Sources close to the film company say one of those movies will also John Di Domenico, the world’s most well-known Trump impersonator.Melania began her career as a model before becoming the World’s Most Powerful Woman as the First Lady."
35,"The oldest living person in history, Bertha Flake, has died at 187.Flake, who was born in 1831, has been listed as the oldest living person in the Guinness World Records book since 1955, when she turned 124. At that point doctors thought that she would not have much longer to live, but after meeting with a “mystic” in 1957, Flake began to see her health improve.The mystic told Flake to begin drinking filtered formaldehyde each day before eating her normal breakfast. Despite doctors warning her that it would kill her, Flake began the regimen, and lived another 60 years.“It tastes horrible, but it’s clearly working,” said Flake last year on her 186th birthday. No one thought I would live this long. I didn’t even know it was medically possible, but here I am, still kicking, still going strong. I hope I live to see 200, but at this point, I’ve lived 2 or 3 lifetimes, and I can’t say that I haven’t seen and done it all. If I did next year though, I hope it’s in a hail of police bullets. Nothing like pulling a 187 on a motherfuckin’ cop, right?”Flake was married 6 times in her life, and claims that she had even slept with many famous figures in history, including Charlie Chaplin and Josef Stalin.Doctors are examining her remains and plan to release their findings in the New England Journal of Medicine."
36,"Vin Diesel was reported hospitalized after getting into a physical altercation with his co-star, former WWE champion Dwane ‘The Rock’ Johnson, while filming the latest Fast and Furious movie.According to reports, the two action powerhouses got into a verbal battle on set, and the fight turned physical after Diesel pushed Johnson and called him a “two-bit cocksucker.”“I don’t know what started the fight, but I know there had been some heat between the two during the filming of the last movie,” said Chris Ripkin, a production assistant on the movie. “There might have been some leftover animosity, or it could have been something new. Honestly no one is sure. But what I am sure of is that Rock totally laid the goddamn smackdown on Vin, and it was kind of awesome.”Private studio security was called to the scene, but there has been no official police report filed, and likely isn’t going to be.“These things are handled internally quite often,” said entertainment lawyer Ricky Melvin. “Whatever the deal is, these two guys will either battle it out in person again, or battle it out in court.”Diesel reportedly suffered from a fractured jaw and several bruised and broken ribs. Shooting has been put on hold until March 20th."
