No.,headline,body,label
45,HINDI TOTOO: Si Ferdinand Marcos ang nagpatayo ng Philippine General Hospital,Ipinatayo ang Philippine General Hospital (PGH) noong panahon ng diktadura ni Ferdinand Marcos.,False
46,SATIRE: Guinness World Records statement on deleting  ‘Greatest Robbery of a Government’ record of Marcoses,The Guinness World Records said that the “greatest robbery of a government” title of former dictator Ferdinand Marcos and his wife Imelda Marcos was deleted due to lack of evidence. ,False
47,HINDI TOTOO: Nakalutang sa tubig ang mga dumalo sa Robredo-Pangilinan rally sa Butuan,"Nakalutang sa tubig ang mga dumalo sa campaign rally ni presidential candidate at Bise Presidente na si Leni Robredo at ang kanyang running mate na si Senador Kiko Pangilinan sa Guingona Park, Butuan.",False
48,HINDI TOTOO: Sinabi ng anak na dating drug addict si Marcos Jr.,Sinabi ni William Vincent “Vinny” Marcos na ang kanyang ama na si Ferdinand “Bongbong” Marcos Jr. ay isang dating drug addict.   ,False
49,HINDI TOTOO: Ipinagkatiwala lamang ni Marcos ang hacienda sa tatay ni Rowena Guanzon,Ninakaw ng pamilya ni dating Commission on Elections commissioner Rowena Guanzon sa mga Marcos ang pag-aari nilang hacienda. Katiwala lang daw ni Marcos ang tatay niyang si “Romeo Guanzon.”  ,False
50,HINDI TOTOO: Walang planong solusyon si Robredo sa problema ng droga sa bansa,Walang planong solusyon si Bise Presidente Leni Robredo sa problema ng droga sa bansa.,False
51,KULANG SA KONTEKSTO: Matagal nang walang Martial Law bago ang EDSA Revolution,"Panloloko ng mga “dilawan” (o mga tagasuporta ng Aquino family) ang pagsasabing noong EDSA Revolution lang natapos ang Martial Law dahil Enero 17, 1981, pa lamang ay inihinto na ito Ferdinand Marcos.",False
52,HINDI TOTOO: Opisyal nang aatras si Manny Pacquiao sa eleksiyon 2022,Opisyal nang aatras ang kandidato sa pagkapangulong si Senador Manny Pacquiao sa parating na eleksiyon sa May 2022. ,False
53,HINDI TOTOO: Ipinagkatiwala ng mga Lopez ang Meralco kay Ferdinand Marcos,"Ang Meralco, na pagmamay-ari ng mga Lopez, ay ipinagkatiwala sa yumaong diktador na si Ferdinand Marcos Sr.",False
54,HINDI TOTOO: Kay Robredo lang napapunta ang lahat ng boto ng ARMM noong 2016,Walang natanggap na boto sa dating Autonomous Region in Muslim Mindanao (ARMM) ang lahat ng kumandidato sa pagka-bise presidente noong 2016 maliban kay Leni Robredo.,False
55,FALSE: Marcos Jr. holds the Guinness World Record for longest motorcade,Ferdinand “Bongbong” Marcos Jr. holds the Guinness World Record for having the longest motorcade.,False
56,HINDI TOTOO: Nakaprograma na ang magiging resulta ng botohan sa Mayo 2022,Nakaprograma na sa sistema ng Smartmatic ang magiging resulta ng botohan sa Mayo 2022.,False
57,HINDI TOTOO: Hindi maalala ni Robredo ang kaniyang paboritong libro,Hindi maalala ni Bise Presidente Leni Robredo ang kaniyang paboritong libro.,False
58,HINDI TOTOO: Recording ng meeting ng kampo ni Robredo para sa vote buying,May recording ng isang meeting kung saan pinaplano ng kampo ni Bise Presidente Leni Robredo ang pamimili ng boto.,False
59,MANIPULADONG LARAWAN: Pangulong Duterte hawak ang UniTeam t-shirt,Nagparetrato si Pangulong Rodrigo Duterte hawak ang UniTeam t-shirt.,False
60,FALSE: Video shows Ukraine President Zelenskiy kneeling for Putin,"Ukraine President Volodymyr Zelenskiy is seen in a video saying: “I’m ready to kneel. Just do not kneel Ukraine,” before kneeling for Russian President Vladimir Putin.",False
61,FALSE: New Clark City stadium designed by Japanese and Chinese engineers,The New Clark City Athletics Stadium was designed and built by Japanese and Chinese architects and engineers.,False
62,HINDI TOTOO: Naitago ni Marcos Sr. ang mga ginto nina Hitler at Yamashita,"Naitago ni Ferdinand Marcos ang ilang bahagi ng mga gintong ninakaw nina Adolf Hitler, yumaong diktador ng Alemanya, at General Tomoyuki Yamashita, heneral ng Imperial Japanese Army.",False
63,HINDI TOTOO: Nagpahayag si Pia Wurtzbach tungkol sa negatibong pangangampanya,Nagbigay ng pahayag si Miss Universe 2015 Pia Wurtzbach tungkol sa negatibong pangangampanya.,False
64,HINDI TOTOO: Nagbayad si Robredo ng P800M para sa suporta ni Reporma head Alvarez,Nagbayad si Bise Presidente Leni Robredo ng P800 milyon para ilipat sa kanya ang suporta ni Partido Reporma president Pantaleon Alvarez.,False
65,"HINDI TOTOO: Ayon sa Guinness, pinakamalaki sa buong mundo ang Uniteam rally sa Cavite","Kinilala ng Guinness World Records (GWR) bilang pinakamalaking rally sa buong mundo ang pagtitipon ng Uniteam nina Ferdinand “Bongbong” Marcos Jr. at Sara Duterte sa Cavite noong Marso 22, 2022. ",False
66,HINDI TOTOO: Nahuli ng NBI ang planong pandaraya ng Leni-Kiko tandem,Nahuli ng National Bureau of Investigation (NBI) ang planong pakikipagsabwatan ng tandem ni Bise Presidente Leni Robredo at Senador Kiko Pangilinan sa Smartmatic at Commission on Elections (Comelec) para mandaya sa darating na halalan.,False
67,"HINDI TOTOO: Ayon sa SunStar, lockdown ang Cebu mula Marso 29, 2022","Ayon sa SunStar Cebu, magkakaroon ng lockdown sa buong probinsya ng Cebu mula Lunes, Marso 29, 2022. ",False
68,FALSE: Hyssop drops can cure multiple eye diseases,Hyssop drops can cure multiple eye diseases.,False
69,FALSE: Drinking lemon juice and olive oil will help you pass gallstones,Drinking lemon juice and olive oil will help you pass gallstones.,False
70,KULANG SA KONTEKSTO: Sinabi ni Robredo na magbibigay siya ng CIA report kay Biden,"Nang tanungin Vice President Leni Robredo kung ano ang sasabihin niya kay US President Joe Biden kapag siya’y naging pangulo ng Pilipinas, ang isinagot lang niya ay ibibigay niya kay Biden ang CIA report tungkol sa Pilipinas.",False
71,HINDI TOTOO: Maaaring madiskalipika ang Leni-Kiko tandem dahil banyaga ang nagpopondo sa kanila,Maaaring madiskalipika ang presidential-vice presidential tandem nina Bise Presidente Leni Robredo at Senator Kiko Pangilinan dahil pinopondohan ng mga banyagang institusyon ang kanilang kampanya.,False
72,HINDI TOTOO: Walang naitulong si Robredo sa kapitbahay sa Naga City,Ibinulgar ng kapitbahay ni Vice President Leni Robredo sa Naga City na masama ang kanyang ugali dahil hindi siya tumulong sa kanila.,False
73,HINDI TOTOO: Marcos Jr. planong dayain kaya walang bantay sa pag-imprenta ng mga balota,Planong dayain ng Comelec si Ferdinand Marcos Jr. kaya walang pinapayagang magbantay sa pag-iimprenta ng mga balota.,False
74,HINDI TOTOO: Ni-recruit ni Chad Booc ang mga kabataang katutubong kasama niya sa Cebu,Ang mga kabataang katutubo na tumigil sa University of San Carlos sa Cebu ay mga rekluta ni Chad Booc bilang “propaganda ng teroristang CPP-NPA-NDF.” ,False
75,HINDI TOTOO: Walang scam sa coco levy trust fund noong panahon ni Marcos,"Walang scam na nangyari sa coco levy trust fund noong panahon ng diktadura ni Ferdinand Marcos, at hindi sinamantala ng mga crony niya ang mga buwis na ibinayad ng mga magsasaka para rito.",False
76,HINDI TOTOO: Sinabi ni Kim Henares na walang ill-gotten wealth ang mga Marcos,Sinabi ni dating Bureau of Internal Revenue (BIR) commissioner Kim Henares sa interbiyu sa DZMM TeleRadyo tungkol sa estate tax na walang ninakaw ang pamilyang Marcos.,False
77,HINDI TOTOO: Hindi kailanman bumisita ang Amnesty International sa Pilipinas,Hindi kailanman bumisita ang Amnesty International sa Pilipinas para imbestigahan ang Martial Law.,False
78,HINDI TOTOO: Litrato ng Davao project sa website ng DPWH,Larawan ng Davao City Bypass Project ang ipinakita sa isang artikulo sa website ng Department of Public Works and Highways (DPWH). ,False
79,"HINDI TOTOO: Dahil binubuwisan, hindi nakaw ang yaman ng mga Marcos",Ang paniningil ng buwis para sa mga ari-arian ng pamilya ng dating diktador na si Ferdinand Marcos ay nangangahulugang hindi nakaw ang kanilang yaman. ,False
80,HINDI TOTOO: Pinarangalan ng Gawad Alab Haraya ng NCCA si Marcos Jr.,Nakamit ni Ferdinand “Bongbong” Marcos Jr. ang unang gantimpala sa Gawad Alab Haraya ng  National Commission for Culture and the Arts (NCCA) noong 2002. ,False
81,"HINDI TOTOO: May planong dayain ang 2022 eleksiyon, ayon sa PPCRV at Namfrel","Ayon sa Parish Pastoral Council for Responsible Voting (PPCRV) at National Citizens’ Movement for Free Elections (Namfrel), may plano ang kampo ng Marcos-Duterte na dayain ang kandidato para sa pagkapangulong na si Vice President Leni Robredo sa eleksiyon sa Mayo 2022.",False
82,MANIPULADONG BIDYO: Kinanta ang isang UniTeam chant sa BTS concert,"Kinanta sa isang BTS concert ang “Bagong Pilipinas, bagong mukha,” na temang pangampanya ng UniTeam nina Ferdinand Marcos Jr. at Sara Duterte.",False
83,HINDI TOTOO: Sakay ng yate si Robredo bago lumipat ng bangka papuntang Basilan,Sa yate nakasakay si Vice President Leni Robredo mula Zamboanga City bago ito lumipat sa bangka na dumaong sa Isabela City port ng Basilan para magmukhang makamasa sa pangangampanya. ,False
84,FALSE: Marcos Jr. was 2001 Milo Little Olympics taekwondo champion,"Presidential candidate Ferdinand “Bongbong” Marcos Jr. won a taekwondo championship in the Milo Little Olympics grade school division in Lingayen, Pangasinan, in 2001.",False
85,HINDI TOTOO: Puro kuha sa gabi ang drone shots sa campaign rallies ni Robredo,Ang drone shots ng campaign rallies ni presidential candidate Leni Robredo ay puro kinuha sa gabi para hindi maaninag kung marami ngang tao.,False
86,HINDI TOTOO: Pahayag ng pag-endoso ng isang madre kay Marcos Jr.,Sinabi ni Sister Consolata Manding na ineendoso niya si Ferdinand “Bongbong” Marcos Jr. sa pagkapangulo.,False
87,HINDI TOTOO: May naunang asawa si Robredo na miyembro ng NPA,May naunang asawa na miyembro ng New People’s Army (NPA) na sinamahan si Bise Presidente Leni Robredo noong 15 taong gulang pa lamang siya.,False
88,HINDI TOTOO: Aatras ang tambalang Lacson-Sotto sa eleksiyon 2022,"Aatras ang tambalan nila Panfilo “Ping” Lacson at Vicente “Tito” Sotto III sa presidential-vice presidential elections ngayong 2022 matapos nilang makipagkita kay Senator Imee Marcos, na kapatid ng presidential candidate na si Ferdinand “Bongbong” Marcos Jr.",False
89,MISSING CONTEXT: Those who are pro-life shouldn’t get the COVID-19 vaccine,Those who are pro-life shouldn’t get the COVID-19 vaccine.,False
90,FALSE: Ivermectin proves to be an effective alternative to the COVID-19 vaccine,Ivermectin proves to be an effective alternative to the COVID-19 vaccine.,False
91,HINDI TOTOO: Lahat ng pinatay noong Martial Law ay komunista,Komunista ang lahat ng pinatay noong panahon ng Martial Law sa ilalim ng diktadura ni Ferdinand Marcos. ,False
92,FALSE: Vaccination exposes you to COVID-19 infection,Vaccination exposes you to COVID-19 infection. ,False
93,FALSE: Marcos Jr. leads in Bloomberg survey on best candidate to lead economic recovery,Presidential candidate Ferdinand “Bongbong” Marcos Jr. is leading in a Bloomberg survey of investors and analysts on who they think is the best candidate to lead the recovery of the country’s economy.,False
94,HINDI TOTOO: Senator Leila de Lima pumanaw na,Pumanaw na ang reelectionist senator na si Leila de Lima.,False
95,HINDI TOTOO: Walang basehan ang titulong ‘Greatest Robbery of a Government’ ni Marcos sa Guinness World Records,"Walang basehan ang titulong “Greatest Robbery of a Government” ni Ferdinand Marcos sa Guinness World Records, kaya tinanggal ang ulat na ito sa opisyal na website ng GWR. ",False
96,HINDI TOTOO: Text blast tungkol sa suporta ni Joma Sison sa kandidatura ni Robredo,Inendoso ng Communist Party of the Philippines founder Jose Maria “Joma” Sison ang kandidatura sa pagkapangulo ni Leni Robredo. ,False
97,"FALSE: Cory Aquino handpicked 48 persons to draft Constitution for business, foreign  interests","President Corazon Aquino handpicked 48 men and women, including suspected communists, to draft her own Constitution to accommodate the interests of oligarchs and foreign influences.",False
98,HINDI TOTOO: Bumagsak ang net satisfaction rating ni Robredo sa bagong SWS survey,Bumagsak ang net satisfaction rating ni Vice President Leni Robredo sa bagong survey ng Social Weather Stations (SWS) nitong Marso 2022.,False
99,HINDI TOTOO:  Sinabi ni Robredo na pababalikin niya sa Pilipinas si Joma Sison,Sinabi ni Bise Presidente Leni Robredo na pababalikin niya sa Pilipinas si Jose Maria Sison kapag nanalo siya bilang pangulo.,False
100,HINDI TOTOO: Na-hack ang Comelec database na may pribadong impormasyon ng mga botante,Na-hack ang database ng Commission on Elections (Comelec) na naglalaman ng pribadong impormasyon ng mga rehistradong botante. ,False
101,HINDI TOTOO: Napasabak sa ‘mukbang’ si Robredo sa Bukidnon,"Makikita sa isang litrato na napasabak sa chicken mukbang si Bise Presidente at kandidato sa pagkapangulo na si Leni Robredo sa harap ng mga magsasaka sa Sumilao, Bukidnon.",False
102,FALSE: Ilocos Norte government backs petition to declare Robredo ‘persona non grata’,The Ilocos Norte provincial government backs a petition to declare Vice President Leni Robredo as “persona non grata” or unwelcome in the province since the petition posted on social media by a university student bears the official seal of Ilocos Norte.,False
103,HINDI TOTOO: Robredo-Pangilinan tandem tinanggap at ikinatuwa ang pag-endoso ng CPP-NPA-NDF,"Tinanggap at ikinatuwa ng tandem nina Leni Robredo at Kiko Pangilinan ang pag-endoso ng Communist Party of the Philippines (CPP), New People’s Army (NPA), at National Democratic Front (NDF).",False
104,FALSE: Drinking water with meals dilutes gastric juices enough to affect digestion,Drinking water with meals dilutes gastric juices enough to affect digestion.,False
105,HINDI TOTOO: Sinabi ni Isko Moreno na siya ang nagpagawa ng Manila Golden Mosque,Sinabi ni Manila mayor at kandidato sa pagkapangulo na si Isko Moreno na siya ang nagpagawa ng Manila Golden Mosque.,False
106,HINDI TOTOO: Wala pang MILF noong administrasyon ni Ferdinand Marcos,Wala pa ang Moro Islamic Liberation Front o MILF noong administrasyon ng dating pangulong Ferdinand Marcos.,False
107,KULANG SA KONTEKSTO: Sinabi ni Sharon Cuneta na si Robredo ang pangulong paniniwalaan ng NPA,Sinabi ni Sharon Cuneta na si Bise Presidente Leni Robredo ang magiging unang presidente na paniniwalaan ng New People’s Army at magiging kaibigan ng Abu Sayyaf.,False
108,"HINDI TOTOO: 500,000 ang dumalo sa Marcos-Duterte rally sa Las Pinas at sa caravan mula Muntinlupa","500,000 ang dumalo sa rally sa Las Piñas ng kandidato para sa pagkapangulong si Ferdinand “Bongbong” Marcos Jr. at ang kanyang kandidato para sa bise presidente na si Sara Duterte, at sa naunang caravan mula sa karatig na siyudad ng Muntinlupa noong Marso 13, 2022. ",False
109,HINDI TOTOO: Sa Pasig City Hall quadrangle gaganapin ang rally ni Robredo,Sa Pasig City Hall quadrangle gaganapin ang Pasig campaign rally ni Bise Presidente Leni Robredo.,False
110,"HINDI TOTOO: Ayon sa Bombo Radyo Bacolod, 70M ang dumalo sa Leni-Kiko rally","Ayon sa Bombo Radyo Bacolod, 70 milyon ang dumalo sa rally ng kandidato para sa pagkapangulo na si Leni Robredo at tumatakbo bilang bilang bise presidente na si Senador Francis “Kiko” Pangilinan noong Marso 11, 2022, sa Paglaum Sports Complex, Bacolod City. ",False
111,FALSE: Photos showing Putin and Zelenskiy during the 2022 Russia-Ukraine crisis,"Russian president Vladimir Putin is photographed enjoying a vacation, while Ukraine president Volodymyr Zelenskiy is joining the army troops amid the ongoing Russia-Ukraine war.",False
112,FALSE: Galunggong is the easiest fish to raise,Galunggong or round scad (Decapterus macrosoma) is the easiest fish to raise.,False
113,HINDI TOTOO: Itataas nang 29% ang pensiyon ng mga miyembro ng AFP at PNP sa Abril 2022,Itataas ang pensiyon ng lahat ng mga military and uniformed personnel (MUP) o miyembro ng Armed Forces of the Philippines (AFP) at Philippine National Police (PNP) hanggang 29% dahil kasama sila sa pagpapantay ng sahod ng lahat ng mga empleyado ng gobyerno. Matatanggap ang mas mataas na pensiyon na ito sa Abril 2022. ,False
114,FALSE: Priest’s homily in support of BBM-Sara campaign,Priest’s homily in support of BBM-Sara campaign.,False
115,HINDI TOTOO: Kinumpirma ni Duterte na makukulong nang 10 taon si Hontiveros,Kinumpirma ni Pangulong Rodrigo Duterte na makukulong nang 10 taon si Senator Risa Hontiveros dahil sa kasong perjury.,False
116,HINDI TOTOO: Kinulayan ng pink ang Masjid Dimaukom para kay Robredo,Ang pinturang pink sa Masjid Dimaukom sa Maguindanao ay para raw kay Bise Presidente at kandidato para sa pagkapangulong si Leni Robredo.,False
117,HINDI TOTOO: Rappler ang nagsulat ng fact check article na binatikos ni Richard Gomez,Rappler ang nagsulat ng fact check article na binatikos ni Ormoc City Mayor Richard Gomez.,False
118,FALSE: Ex-Miss Ukraine Anastasiia Lenna joins military in fight against Russia,Former Miss Ukraine Anastasiia Lenna has decided to join the military to fight against invading Russian forces.,False
121,HINDI TOTOO: Bongbong Marcos walang kaso ng human rights sa Amerika,Si Ferdinand “Bongbong” Marcos Jr. ay walang kaso ng human rights sa Amerika.,False
122,"HINDI TOTOO: Sabi ni Robredo, sasakyan para sa lahat ang solusyon sa trapik",Sinabi ni Vice President Leni Robredo na dapat lahat ng tao ay may sasakyan bilang solusyon sa trapik sa Metro Manila.,False
123,FALSE: BIR recognizes Ana Maria Rafael as legitimate Beneco general manager,"The Bureau of Internal Revenue (BIR) recognizes lawyer Ana Maria Rafael as the legitimate general manager of the Benguet Electric Cooperative (Beneco), as proven by its decision to allow her camp to print Teller’s Official Receipt.",False
124,"FALSE: Participants in CNN PH presidential, VP debates given questions in advance",The CNN Presidential and Vice Presidential Debates participants were given the questions in advance.,False
125,HINDI TOTOO: Ang SPLAT Communications ay isang data analytics firm,Ang SPLAT Communications ay isang data analytics firm.,False
126,HINDI TOTOO: Sinabi ni Robredo na dapat mangyari sa Pilipinas ang nangyari sa Ukraine,Sinabi ni Robredo na dapat mangyari sa Pilipinas ang nangyari sa Ukraine na lahat ng tao ay nakikipagpatayan.,False
127,HINDI TOTOO: Nakipagsabwatan ang kampo ni Robredo sa Meta at Twitter laban kay Marcos Jr.,Nakipagsabwatan ang kampo ni Vice President Leni Robredo sa Meta at Twitter para atakihin si Ferdinand “Bongbong” Marcos Jr. ,False
128,KULANG SA KONTEKSTO: Bidyo ng pahayag ni Robredo tungkol sa Russia-Ukraine krisis,Pinapakita ng bidyo ang pahayag ni Bise Presidente at kandidato para sa pagkapangulong si Leni Robredo tungkol sa Russia-Ukraine krisis.,False
